IEX,Indian Energy Exchange Ltd
BHEL,Bharat Heavy Electricals Ltd
PETRONET,Petronet LNG Ltd
IDEA,Vodafone Idea Ltd
OIL,Oil India Ltd
MAZDOCK,Mazagon Dock Shipbuilders Ltd
INDUSTOWER,Indus Towers Ltd
ETERNAL,Eternal Ltd
HINDZINC,Hindustan Zinc Ltd
NATIONALUM,National Aluminium Co Ltd
ASHOKLEY,Ashok Leyland Ltd
UNIONBANK,Union Bank of India Ltd
SIEMENS,Siemens Ltd
INDIANB,Indian Bank
IDBI,IDBI Bank Ltd
ONGC,Oil and Natural Gas Corporation Ltd
MAHABANK,Bank of Maharashtra Ltd
GRSE,Garden Reach Shipbuilders & Enginers Ltd
NLCINDIA,NLC India Ltd
KSB,KSB Ltd
ABFRL,Aditya Birla Fashion and Retail Ltd
HAVELLS,Havells India Ltd
BDL,Bharat Dynamics Ltd
BANKINDIA,Bank of India Ltd
AEGISVOPAK,Aegis Vopak Terminals Ltd
COCHINSHIP,Cochin Shipyard Ltd
SIGNATURE,Signatureglobal (India) Ltd
YESBANK,Yes Bank Ltd
COFORGE,Coforge Ltd
ABB,ABB India Ltd
ASIANPAINT,Asian Paints Ltd
TARIL,Transformers and Rectifiers (India) Ltd
CRAFTSMAN,Craftsman Automation Ltd
SAMMAANCAP,Sammaan Capital Ltd
BANKBARODA,Bank of Baroda Ltd
BEL,Bharat Electronics Ltd
GESHIP,Great Eastern Shipping Company Ltd
CANBK,Canara Bank Ltd
ICICIPRULI,Icici Prudential Life Insurance Comp Ltd
DATAPATTNS,Data Patterns (India) Ltd
VEDL,Vedanta Ltd
CANFINHOME,Can Fin Homes Ltd
HCLTECH,HCL Technologies Ltd
CAMPUS,Campus Activewear Ltd
COLPAL,Colgate-Palmolive (India) Ltd
NATCOPHARM,Natco Pharma Ltd
VENTIVE,Ventive Hospitality Ltd
AUBANK,AU Small Finance Bank Ltd
KEC,KEC International Ltd
JKTYRE,JK Tyre & Industries Ltd
HINDCOPPER,Hindustan Copper Ltd
KIRLOSENG,Kirloskar Oil Engines Ltd
STARHEALTH,Star Health and Allied Insurnc Cmpny Ltd
PNB,Punjab National Bank
NEULANDLAB,Neuland Laboratories Ltd
KIMS,Krishna Institute Of Medical Sciencs Ltd
MEDANTA,Global Health Ltd
SWIGGY,Swiggy Ltd
LICHSGFIN,LIC Housing Finance Ltd
ABSLAMC,Aditya Birla Sun Life Amc Ltd
BAJFINANCE,Bajaj Finance Ltd
LTFOODS,LT Foods Ltd
POONAWALLA,Poonawalla Fincorp Ltd
BRITANNIA,Britannia Industries Ltd
SUNDARMFIN,Sundaram Finance Ltd
FEDERALBNK,Federal Bank Ltd
POWERGRID,Power Grid Corporation of India Ltd
NHPC,NHPC Ltd
BLUESTARCO,Blue Star Ltd
BPCL,Bharat Petroleum Corporation Ltd
MINDACORP,Minda Corporation Ltd
MSUMI,Motherson Sumi Wiring India Ltd
BSE,BSE Ltd
IIFL,IIFL Finance Ltd
SOLARINDS,Solar Industries India Ltd
HUDCO,Housing And Urban Development Corp Ltd
CUB,City Union Bank Ltd
LT,Larsen and Toubro Ltd
TECHM,Tech Mahindra Ltd
ABCAPITAL,Aditya Birla Capital Ltd
LEMONTREE,Lemon Tree Hotels Ltd
CGCL,Capri Global Capital Ltd
CUMMINSIND,Cummins India Ltd
TATAELXSI,Tata Elxsi Ltd
SBIN,State Bank of India
TVSMOTOR,TVS Motor Company Ltd
SAPPHIRE,Sapphire Foods India Ltd
SWANCORP,Swan Corp Ltd
